backend_name,model_family,num_qubits,train_size,epochs,num_runs,mean_train_accuracy,variance_train_accuracy,mean_test_accuracy,variance_test_accuracy,mean_train_loss,variance_train_loss,mean_test_loss,variance_test_loss,mean_classification_threshold,variance_classification_threshold,mean_runtime_seconds,variance_runtime_seconds,source_run
torch_pure,hea_qcnn,10,2,50,3,1.0,0.0,0.97,0.0006,0.1560933476352863,0.000786140364015,0.1715597930321637,0.0005751809802409,0.5958800712220155,0.0005396454579427,169.3735154385989,451.0953222657599,torch_main
torch_pure,hea_qcnn,10,4,50,3,1.0,0.0,0.97,0.0004666666666666,0.1341848549095159,0.0001579830071664,0.1457524543500629,0.0001477733221449,0.5840217543419516,0.000567906094776,272.54616919128847,1307.5928343908795,torch_main
torch_pure,hea_qcnn,10,6,50,3,1.0,0.0,0.9733333333333332,2.222222222222226e-05,0.119442274506937,4.772519460702661e-05,0.1282627439274955,4.058426528010556e-05,0.5939608880784683,0.0001351391386283,359.7936454806477,2550.876351121186,torch_main
torch_pure,hea_qcnn,10,8,50,3,1.0,0.0,0.9866666666666668,2.222222222222226e-05,0.1263430088559407,5.084875920872232e-05,0.1326246181842808,4.5002765711069e-05,0.5898703457085914,0.000191871377712,395.7768101148928,3973.111545939856,torch_main
torch_pure,hea_qcnn,10,10,50,3,1.0,0.0,0.99,1.232595164407831e-32,0.127790133776909,5.645129288961988e-05,0.1326044855735133,5.072278433499658e-05,0.6006444159955766,0.0001468159095264,555.8738256107705,4381.732302619336,torch_main
torch_pure,hea_qcnn,10,12,50,3,1.0,0.0,0.99,1.232595164407831e-32,0.1182594517058733,1.5157707114845642e-08,0.1225320198360603,1.2853053440610525e-08,0.616932105568409,8.512330466295277e-07,569.4603381715715,3006.7228754371536,torch_main
torch_pure,su2_qcnn,6,2,50,3,1.0,0.0,0.99,1.232595164407831e-32,0.1002789286360774,2.6350689617653086e-06,0.114372468820669,1.4833612534084471e-06,0.4435379702369346,8.622361522097576e-05,1.5209933143729966,0.0890847656776526,torch_main
torch_pure,su2_qcnn,6,4,50,3,1.0,0.0,1.0,0.0,0.1010727619380498,1.335277315994043e-09,0.1105191684202698,3.112543344737004e-09,0.4267890701960795,1.7005252694591005e-06,1.5444172948288422,0.1632982995847083,torch_main
torch_pure,su2_qcnn,6,6,50,3,1.0,0.0,1.0,0.0,0.1039603217277598,3.982321777474405e-11,0.1104218445029279,1.99419454380318e-11,0.4310036469236361,1.670523314716335e-06,1.9464687217647831,0.3284178188734375,torch_main
torch_pure,su2_qcnn,6,8,50,3,1.0,0.0,1.0,0.0,0.1057094212042434,1.4443771972689238e-11,0.110416647662967,2.782048566567265e-12,0.4325457918932078,2.857303223562131e-07,2.647790852778902,0.0223342836616607,torch_main
torch_pure,su2_qcnn,6,10,50,3,1.0,0.0,1.0,0.0,0.1068702112147826,5.2232239210133696e-11,0.1104259983394378,1.6561264384327614e-10,0.4331094609171774,2.9107119479148483e-06,2.9678049312594035,0.0465848891054247,torch_main
torch_pure,su2_qcnn,6,12,50,3,1.0,0.0,1.0,0.0,0.1077009039977263,4.9526882114890016e-11,0.1104267405939366,7.909358249840445e-11,0.4346716100217996,5.699358089543367e-06,3.1250834258583686,0.60315549415906,torch_main
torch_pure,su2_qcnn,7,2,50,3,1.0,0.0,0.8666666666666667,2.222222222222226e-05,0.2122065607195725,7.009054414520183e-07,0.2110189943455221,7.465755185872658e-07,0.4993213635281961,5.40846611480049e-05,2.152246560746183,0.0158211031063381,torch_main
torch_pure,su2_qcnn,7,4,50,3,1.0,0.0,0.9266666666666667,2.222222222222226e-05,0.2100144010923828,1.4835117010525608e-08,0.2094455833714536,7.1032318008793e-08,0.4857280707143001,5.456681303884044e-06,1.990248493695011,0.2025104530403246,torch_main
torch_pure,su2_qcnn,7,6,50,3,1.0,0.0,0.9566666666666668,2.222222222222226e-05,0.2100939658357445,1.2737830182687912e-08,0.209405869006609,3.8663901054815015e-08,0.4787805004495558,2.2905157361624184e-06,2.568083985708654,0.001233977183794,torch_main
torch_pure,su2_qcnn,7,8,50,3,1.0,0.0,0.97,1.232595164407831e-32,0.2099453124904085,1.5322324764587832e-11,0.2091395366850756,4.964570215412411e-11,0.477566651187487,1.580953801774822e-06,2.9402153169115386,0.0109813724944133,torch_main
torch_pure,su2_qcnn,7,10,50,3,1.0,0.0,0.97,1.232595164407831e-32,0.209844791289498,5.379972377444758e-10,0.2089742908763289,1.3970339732430532e-09,0.4711669275177177,8.355934169357623e-08,3.562754587891201,0.0157891724998892,torch_main
torch_pure,su2_qcnn,7,12,50,3,1.0,0.0,0.98,0.0,0.2098029464265625,3.6463142720359316e-11,0.2088890588404641,1.4505123674167606e-10,0.4703250082191649,5.49756620561072e-07,3.6627357493465142,0.0446550347278324,torch_main
torch_pure,su2_qcnn,8,2,50,3,1.0,0.0,0.92,0.0,0.175132975968074,1.9609745225801467e-08,0.1819211582990615,2.1158253373604043e-08,0.4914699910729089,3.593942723460941e-06,3.553124888489644,0.2315216561869165,torch_main
torch_pure,su2_qcnn,8,4,50,3,1.0,0.0,0.9666666666666668,2.222222222222226e-05,0.1773472411856757,1.5420729020422751e-09,0.1808857864200454,6.585406510350905e-09,0.4634037820203571,3.341327869249044e-06,75.15350136905909,9410.532434967809,torch_main
