backend_name,num_qubits,train_size,epochs,mean_runtime_seconds_hea_qcnn,mean_runtime_seconds_su2_qcnn,mean_test_accuracy_hea_qcnn,mean_test_accuracy_su2_qcnn,mean_test_loss_hea_qcnn,mean_test_loss_su2_qcnn,mean_train_accuracy_hea_qcnn,mean_train_accuracy_su2_qcnn,mean_train_loss_hea_qcnn,mean_train_loss_su2_qcnn,num_runs_hea_qcnn,num_runs_su2_qcnn,delta_test_accuracy_su2_minus_hea,delta_test_loss_su2_minus_hea,runtime_ratio_hea_over_su2
torch_pure,7,12,50,9.072425009372331,3.6627357493465142,0.8000000000000002,0.98,0.1868616607584032,0.2088890588404641,0.9722222222222222,1.0,0.0747430847449669,0.2098029464265625,3.0,3.0,0.17999999999999983,0.022027398082060917,2.4769531929763113
torch_pure,8,2,50,8.284275797971835,3.553124888489644,0.9866666666666668,0.92,0.1654400311307664,0.1819211582990615,1.0,1.0,0.1535912295931536,0.175132975968074,3.0,3.0,-0.06666666666666676,0.016481127168295084,2.3315464718982337
torch_pure,8,4,50,9.627787947654724,75.15350136905909,0.99,0.9666666666666668,0.1624461361234126,0.1808857864200454,1.0,1.0,0.1552647945224302,0.1773472411856757,3.0,3.0,-0.023333333333333206,0.018439650296632804,0.12810830862523875
torch_pure,8,6,50,16.02134702246015,7.425397946964949,1.0,0.98,0.1622359469669807,0.1808467047142311,1.0,1.0,0.1572978560770081,0.1785578784520284,3.0,3.0,-0.020000000000000018,0.018610757747250378,2.157641534755548
torch_pure,8,8,50,14.006184579494098,8.620933916730186,1.0,0.99,0.1622789768198393,0.1808145787008055,1.0,1.0,0.1586595819753101,0.1792374233686917,3.0,3.0,-0.010000000000000009,0.0185356018809662,1.624671377228985
torch_pure,8,10,50,22.289820855949078,12.344031513979038,1.0,0.9966666666666668,0.1622665555344724,0.1808073510715368,1.0,1.0,0.1594971489569971,0.1797016600475706,3.0,3.0,-0.0033333333333331883,0.01854079553706442,1.8057164574399294
torch_pure,8,12,50,26.077614405347656,17.661356496469427,0.9966666666666668,1.0,0.1466847008845454,0.1551369175945237,1.0,1.0,0.1442327003075474,0.1532578111358724,3.0,3.0,0.0033333333333331883,0.008452216709978283,1.4765351919916612
torch_pure,9,2,50,28.42541211983189,20.77955682637791,0.6733333333333333,0.93,0.2100433765809637,0.109705728396109,1.0,1.0,0.0250000520783329,0.0828959383851824,3.0,3.0,0.2566666666666667,-0.1003376481848547,1.3679508353974232
torch_pure,9,4,50,41.92685867457961,47.82527802387873,0.9233333333333332,0.97,0.1089468025135212,0.0974391951452188,1.0,1.0,0.0750544581198066,0.0795788547711801,3.0,3.0,0.046666666666666745,-0.011507607368302392,0.8766673275510476
torch_pure,9,6,50,66.49888948195924,39.91762077715248,0.6833333333333332,0.98,0.2324476724413138,0.0971209130436606,1.0,1.0,0.0418186318932619,0.0839832555676623,3.0,3.0,0.29666666666666675,-0.1353267593976532,1.6659031321831936
torch_pure,9,8,50,81.7957857150274,66.02640323123585,0.9766666666666666,0.99,0.0992414881151261,0.0966538228962499,1.0,1.0,0.0696097052169492,0.0866591606397276,3.0,3.0,0.01333333333333342,-0.0025876652188762117,1.2388344921434606
torch_pure,9,10,50,74.11672869883478,90.17746701122572,0.7200000000000001,0.99,0.2048882845876885,0.0966015251155893,1.0,1.0,0.0829567320534585,0.0886912919571248,3.0,3.0,0.2699999999999999,-0.10828675947209922,0.8218985424552718
torch_pure,9,12,50,100.5424205600284,98.92106914970402,0.9166666666666666,0.99,0.1258140694565187,0.0967736012460406,0.9722222222222222,1.0,0.0984656523735741,0.0903260545758101,3.0,3.0,0.07333333333333336,-0.029040468210478107,1.0163903546965376
torch_pure,10,2,50,169.3735154385989,110.22336886947352,0.97,0.97,0.1715597930321637,0.1844241304324569,1.0,1.0,0.1560933476352863,0.1731994331262277,3.0,3.0,0.0,0.012864337400293191,1.5366388922404555
torch_pure,10,4,50,272.54616919128847,231.3405842104306,0.97,0.98,0.1457524543500629,0.1834892072930072,1.0,1.0,0.1341848549095159,0.1764605877557104,3.0,3.0,0.010000000000000009,0.03773675294294429,1.1781165424194515
torch_pure,10,6,50,359.7936454806477,317.99760604805005,0.9733333333333332,0.99,0.1282627439274955,0.1629075467600048,1.0,1.0,0.119442274506937,0.1561934917324333,3.0,3.0,0.01666666666666683,0.034644802832509286,1.131435075729099
torch_pure,10,8,50,395.7768101148928,335.9149928030868,0.9866666666666668,0.9966666666666668,0.1326246181842808,0.1422803295902607,1.0,1.0,0.1263430088559407,0.1357942826068431,3.0,3.0,0.010000000000000009,0.0096557114059799,1.1782052560747025
torch_pure,10,10,50,555.8738256107705,592.4806021566814,0.99,0.9933333333333332,0.1326044855735133,0.1628759030095645,1.0,1.0,0.127790133776909,0.1588839670165842,3.0,3.0,0.0033333333333331883,0.030271417436051218,0.9382143880953081
torch_pure,10,12,50,569.4603381715715,694.9389823349193,0.99,1.0,0.1225320198360603,0.1422580988968114,1.0,1.0,0.1182594517058733,0.1380891073096714,3.0,3.0,0.010000000000000009,0.019726079060751106,0.8194393358942778
